faculty_id,name,description,domains,requirements
1,UAIC - Facultatea de Biologie,Studii în biologie fundamentală și aplicată,Biologie|Ecologie|Biotehnologii,Biologie >= 7.0|Chimie >= 6.5
2,UAIC - Facultatea de Chimie,Chimie anorganică/organică materiale și mediu,Chimie|Materiale|Mediu,Chimie >= 8.0|Matematica >= 7.0
3,UAIC - Facultatea de Drept,Drept public și privat criminologie european,Drept|Administrație|Etică,Romana >= 7.5|Istorie >= 7.0
4,UAIC - Facultatea de Economie și Administrarea Afacerilor,Economie contabilitate management și business,Economie|Contabilitate|Business,Matematica >= 7.0|Economie >= 7.0
5,UAIC - Facultatea de Educație Fizică și Sport,Kinetoterapie sport și educație fizică,Sport|Kinetoterapie|Psihologie,Biologie >= 7.0|Sport >= 8.0
6,UAIC - Facultatea de Filosofie și Științe Social-Politice,Filosofie științe politice comunicare,Filosofie|Științe politice|Comunicare,Romana >= 7.0|Istorie >= 7.0
7,UAIC - Facultatea de Fizică,Fizică teoretică/aplicată instrumentație,Fizica|Tehnologie|Materiale,Fizica >= 7.5|Matematica >= 8.0
8,UAIC - Facultatea de Geografie și Geologie,Geografie fizică/umană geologie planificare,Geografie|Geologie|GIS,Geografie >= 7.0|Matematica >= 6.5
9,UAIC - Facultatea de Informatică,Algoritmi software IA și securitate,Informatica|Programare|Securitate,Matematica >= 8.0|Informatica >= 8.0
10,UAIC - Facultatea de Istorie,Istorie veche/medievală/modernă patrimoniu,Istorie|Arhivistică|Patrimoniu,Romana >= 7.0|Istorie >= 7.5
11,UAIC - Facultatea de Litere,Filologie lingvistică studii culturale,Litere|Lingvistică|Traducere,Romana >= 7.0|Engleza >= 7.0
12,UAIC - Facultatea de Matematică,Analiză algebră statistică,Matematica|Statistica|Didactica,Matematica >= 8.0|Informatica >= 7.0
13,UAIC - Facultatea de Psihologie și Științe ale Educației,Psihologie pedagogie consiliere,Psihologie|Educație|Sociologie,Psihologie >= 8.0|Romana >= 7.0
14,UAIC - Facultatea de Teologie Ortodoxă,Studii teologice ortodoxe,Teologie|Istorie|Filosofie,Romana >= 7.0|Istorie >= 7.0
15,UAIC - Facultatea de Teologie Romano-Catolică,Studii teologice romano-catolice,Teologie|Studii religioase|Filosofie,Romana >= 7.0|Istorie >= 7.0
16,UBB - Facultatea de Matematică și Informatică,Matematică informatică și AI,Matematica|Informatica|Machine Learning,Matematica >= 8.0|Informatica >= 8.0
17,UBB - Facultatea de Fizică,Fizică teoretică și tehnologică,Fizica|Materiale|Tehnologie,Fizica >= 7.5|Matematica >= 8.0
18,UBB - Facultatea de Chimie și Inginerie Chimică,Chimie și inginerie chimică,Chimie|Inginerie|Materiale,Chimie >= 8.0|Matematica >= 7.0
19,UBB - Facultatea de Biologie și Geologie,Biologie geologie știința mediului,Biologie|Geologie|Ecologie,Biologie >= 7.0|Chimie >= 6.5
20,UBB - Facultatea de Știința și Ingineria Mediului,Medii și tehnologii verzi,Mediu|Ecologie|Energie,Chimie >= 7.0|Geografie >= 7.0
21,UBB - Facultatea de Geografie,Geografie fizică/umană GIS,Geografie|GIS|Planificare,Geografie >= 7.0|Matematica >= 6.5
22,UBB - Facultatea de Sociologie și Asistență Socială,Sociologie asistență socială,Sociologie|Politici publice|Psihologie,Romana >= 7.0|Sociologie >= 7.0
23,UBB - Facultatea de Psihologie și Științe ale Educației,Psihologie pedagogie consiliere,Psihologie|Educație|Neuroștiințe,Psihologie >= 8.0|Romana >= 7.0
24,UBB - Facultatea de Litere,Studii literare și lingvistice,Litere|Lingvistică|Traducere,Romana >= 7.0|Engleza >= 7.0
25,UBB - Facultatea de Istorie și Filozofie,Istorie filozofie relații internaționale,Istorie|Filosofie|Studii europene,Romana >= 7.0|Istorie >= 7.5
26,UBB - Facultatea de Teatru și Film,Teatru film multimedia,Film|Teatru|Multimedia,Romana >= 7.0|Interviu >= 8.0
27,UBB - Facultatea de Științe Economice și Gestiunea Afacerilor,Economie contabilitate informatică economică,Economie|Contabilitate|Business,Matematica >= 7.0|Economie >= 7.0
28,UBB - Facultatea de Business,Afaceri și antreprenoriat,Business|Marketing|Management,Matematica >= 6.5|Economie >= 7.0
29,UBB - Facultatea de Drept,Drept român/european criminologie,Drept|Administrație|Etică,Romana >= 7.5|Istorie >= 7.0
30,UBB - Facultatea de Științe Politice și Admin. Publică,Politologie administrație publică,Științe politice|Administrație|Politici publice,Romana >= 7.0|Istorie >= 7.0
31,UBB - Facultatea de Studii Europene,Studii europene relații UE,Studii europene|Politici publice|Comunicare,Engleza >= 7.5|Istorie >= 7.0
32,UBB - Facultatea de Educație Fizică și Sport,Sport kinetoterapie management sportiv,Sport|Kinetoterapie|Management,Biologie >= 7.0|Sport >= 8.0
33,UBB - Facultatea de Teologie Ortodoxă,Studii teologice ortodoxe,Teologie|Studii religioase|Filosofie,Romana >= 7.0|Istorie >= 7.0
34,UBB - Facultatea de Teologie Romano-Catolică,Studii teologice romano-catolice,Teologie|Studii religioase|Filosofie,Romana >= 7.0|Istorie >= 7.0
35,UBB - Facultatea de Teologie Reformată,Studii teologice reformate,Teologie|Studii religioase|Filosofie,Romana >= 7.0|Istorie >= 7.0
36,UPB - Facultatea de Automatică și Calculatoare,Informatică sisteme AI și software,Informatica|Automatica|Sisteme,Matematica >= 8.5|Informatica >= 8.0
37,UPB - Facultatea de Electronică, Telecom. și TI,Electronica telecomunicații embedded,Electronica|Telecom|IT,Matematica >= 8.0|Fizica >= 7.5
38,UPB - Facultatea de Inginerie Electrică,Inginerie electrică și sisteme de putere,Electrică|Energie|Automatizări,Matematica >= 8.0|Fizica >= 7.0
39,UPB - Facultatea de Energetică,Producere transport eficiență energie,Energie|Termotehnică|Management,Matematica >= 8.0|Fizica >= 7.0
40,UPB - Facultatea de Inginerie Mecanică și Mecatronică,Mecanică mecatronică și CAE,Mecanică|Mecatronică|Materiale,Matematica >= 7.5|Fizica >= 7.0
41,UPB - Facultatea de Ingineria și Managementul Sistemelor Tehnologice,Management industrial și producție,Inginerie|Management|Producție,Matematica >= 7.0|Fizica >= 6.5
42,UPB - Facultatea de Ingineria Sistemelor Biotehnice,Biotehnică și sisteme bio,Inginerie|Biotehnologii|Mediu,Biologie >= 7.0|Chimie >= 7.0
43,UPB - Facultatea de Transporturi,Transporturi terestre și aeriene,Transporturi|Mecanică|Logistică,Matematica >= 7.0|Fizica >= 7.0
